rpm;T_max_Nm;P_max_kW;eta_max
0;120;0;0
250;120;3.142;0.9082
500;120;6.283;0.9112
750;120;9.425;0.914
1000;120;12.566;0.9166
1250;120;15.708;0.9189
1500;120;18.85;0.921
1750;120;21.991;0.9229
2000;120;25.133;0.9246
2250;120;28.274;0.926
2500;120;31.416;0.9272
2750;120;34.558;0.9282
3000;120;37.699;0.929
3250;120;40.841;0.9296
3500;120;43.982;0.9299
3750;120;47.124;0.93
4000;114.592;48;0.9299
4250;107.851;48;0.9296
4500;101.859;48;0.929
4750;96.498;48;0.9282
5000;91.673;48;0.9272
5250;87.308;48;0.926
5500;83.339;48;0.9246
5750;79.716;48;0.9229
6000;76.394;48;0.921
6250;73.339;48;0.9189
6500;70.518;48;0.9166
6750;67.906;48;0.914
7000;65.481;48;0.9112
7250;63.223;48;0.9082
7500;61.115;48;0.905
